,yes_no_fire,date,fire_index,fire_county,temp1,hum1,wind_spd1,wind_gust1,fuel_temp1,fuel_moist1,max_rad1,pk_wind_dir1,temp2,hum2,wind_spd2,wind_gust2,fuel_temp2,fuel_moist2,max_rad2,pk_wind_dir2,temp3,hum3,wind_spd3,wind_gust3,fuel_temp3,fuel_moist3,max_rad3,pk_wind_dir3,temp4,hum4,wind_spd4,wind_gust4,fuel_temp4,fuel_moist4,max_rad4,pk_wind_dir4,temp5,hum5,wind_spd5,wind_gust5,fuel_temp5,fuel_moist5,max_rad5,pk_wind_dir5
101,Yes,2017-04-12,2,Riverside,56.95775000000001,65.45833333333333,2.495833333333333,5.142083333333334,14.19041666666667,13.85416666666667,134.29166666666666,165.16666666666666,47.16574999999998,91.45833333333333,1.8629166666666668,4.731249999999999,8.031250000000002,25.32916666666667,36.041666666666664,112.41666666666667,54.20749999999999,37.25,2.0674999999999994,4.5620833333333355,13.518333333333333,6.150000000000001,302.0,208.33333333333334,43.498999999999995,95.41666666666667,3.109583333333333,9.089583333333334,6.458749999999999,26.733333333333334,57.041666666666664,177.625,53.6675,42.25,1.6570833333333332,4.07875,12.985833333333332,8.545833333333336,304.7916666666667,204.33333333333334
113,Yes,2017-04-24,0,Monterey,50.49950000000001,77.625,2.980416666666667,5.55,12.430416666666668,14.812500000000002,298.8333333333333,299.1666666666667,54.54199999999998,71.25,1.602916666666666,3.204166666666666,14.352083333333331,14.558333333333335,245.54166666666666,162.33333333333334,60.041000000000004,37.0,2.5337500000000004,5.923333333333333,16.828749999999996,5.441666666666666,312.0833333333333,256.4583333333333,43.873250000000006,92.91666666666667,1.73125,4.935416666666667,7.6379166666666665,22.52916666666667,121.375,184.75,59.91875000000002,40.583333333333336,1.4908333333333335,4.730833333333333,16.179999999999996,6.570833333333332,317.75,217.375
119,Yes,2017-04-30,2,Riverside,60.29150000000002,37.666666666666664,2.5512499999999996,5.103333333333333,16.57333333333333,8.258333333333335,321.1666666666667,175.54166666666666,61.208000000000006,35.416666666666664,4.414583333333335,7.356249999999997,17.10625,7.366666666666668,295.9583333333333,99.0,55.6685,20.416666666666668,3.1483333333333348,7.953333333333334,14.051249999999998,4.345833333333334,335.9166666666667,61.166666666666664,60.79175000000001,35.0,0.7833333333333331,2.4225,16.713333333333335,7.599999999999999,290.9583333333333,146.16666666666666,57.750499999999995,23.791666666666668,2.1233333333333326,6.743333333333333,15.485833333333334,6.487500000000002,342.9583333333333,107.70833333333333
133,Yes,2017-05-14,0,Monterey,48.251000000000005,73.08333333333333,3.7433333333333354,6.612083333333334,11.852916666666667,12.112500000000002,329.5,289.7083333333333,51.083000000000006,47.166666666666664,2.5141666666666667,4.357916666666665,12.987083333333333,8.475,288.4583333333333,131.375,53.95925,72.75,1.9933333333333334,4.935833333333334,14.28208333333333,11.483333333333334,342.6666666666667,275.625,45.875750000000004,53.083333333333336,1.11875,3.1483333333333334,7.894166666666667,9.295833333333333,157.45833333333334,134.58333333333334,50.416999999999994,78.16666666666667,1.5462500000000003,3.834583333333335,12.176666666666668,15.037499999999996,349.625,208.25
135,Yes,2017-05-16,0,Monterey,46.66550000000001,85.70833333333333,3.277916666666668,5.905000000000001,10.162083333333337,16.79583333333333,223.58333333333334,302.0416666666667,59.33375,43.125,2.55125,5.1591666666666685,17.33833333333333,7.720833333333334,315.9166666666667,135.25,45.20674999999999,72.375,3.333333333333334,7.209166666666667,9.9075,11.674999999999997,335.4166666666667,265.7916666666667,45.126500000000014,73.375,1.2295833333333333,3.596666666666667,6.6675,16.40833333333333,41.416666666666664,148.58333333333334,42.791,85.45833333333333,2.4008333333333334,7.2087499999999975,7.45375,16.17083333333333,169.58333333333334,237.25
136,Yes,2017-05-17,0,Monterey,49.95724999999999,86.625,3.9124999999999996,7.283749999999999,11.921249999999999,17.125000000000004,216.125,289.7083333333333,48.28849999999999,89.625,1.2491666666666663,3.092500000000001,9.235000000000001,20.65416666666667,53.958333333333336,147.70833333333334,48.170000000000016,81.45833333333333,3.1100000000000008,6.611249999999999,11.041666666666666,14.1875,245.08333333333334,272.4583333333333,49.16750000000001,55.291666666666664,0.9137499999999998,3.2224999999999997,11.272916666666667,18.329166666666666,318.0416666666667,231.29166666666666,44.792750000000005,98.5,1.2866666666666666,4.060833333333334,7.708750000000001,23.774999999999995,67.66666666666667,238.54166666666666
137,Yes,2017-05-18,2,Riverside,51.58475000000001,67.0,2.8508333333333336,5.532083333333335,12.476249999999999,13.9625,313.125,227.625,56.04275000000001,55.166666666666664,3.370416666666666,5.587499999999999,15.27625,13.049999999999997,275.0416666666667,119.29166666666667,46.375249999999994,90.16666666666667,2.6095833333333336,5.9225,8.542083333333332,18.4125,93.08333333333333,266.125,58.373,36.125,1.1191666666666664,3.0541666666666667,15.833333333333336,8.579166666666664,317.375,146.08333333333334,47.166500000000006,93.66666666666667,1.4158333333333335,4.097916666666668,10.092916666666666,19.95833333333333,172.625,200.45833333333334
138,Yes,2017-05-19,4,San Diego,62.916499999999985,42.5,3.204166666666666,6.017083333333332,18.541250000000005,9.1125,337.4166666666667,170.66666666666666,64.28974999999998,33.708333333333336,4.8975,8.959166666666668,19.25791666666666,7.783333333333334,315.25,69.625,61.20875000000001,33.541666666666664,2.142916666666667,6.424999999999998,17.662499999999994,8.145833333333332,336.0416666666667,154.375,65.999,26.833333333333332,1.4350000000000003,3.445833333333333,20.024583333333336,6.504166666666666,319.6666666666667,154.25,57.373999999999995,57.958333333333336,1.51,4.135833333333333,15.231250000000001,13.291666666666666,329.4166666666667,162.54166666666666
139,Yes,2017-05-20,4,San Diego,70.46000000000002,27.416666666666668,3.073749999999999,6.222083333333333,22.845833333333335,6.966666666666669,335.8333333333333,153.58333333333334,68.459,35.166666666666664,4.209166666666666,7.245416666666666,22.01291666666667,6.683333333333334,316.2083333333333,103.375,60.37475000000001,30.333333333333332,1.8637500000000005,5.457916666666667,16.876249999999995,5.345833333333334,345.125,134.25,69.41975,29.041666666666668,0.6708333333333333,2.2175,21.48166666666666,6.570833333333334,322.375,178.08333333333334,61.709,34.833333333333336,1.9933333333333334,5.625416666666667,17.31416666666666,8.383333333333331,339.6666666666667,119.04166666666667
140,Yes,2017-05-21,2,Riverside,72.54050000000002,30.208333333333332,2.96125,5.867916666666666,24.074583333333337,5.887499999999999,334.3333333333333,166.16666666666666,71.66525000000001,36.125,3.726666666666666,6.705416666666667,24.0275,6.591666666666668,317.6666666666667,106.08333333333333,65.957,29.875,1.8437500000000009,5.288333333333336,19.815,4.954166666666667,342.625,187.66666666666666,70.37449999999998,26.375,1.1925,3.1108333333333333,22.036666666666665,5.808333333333333,316.6666666666667,150.08333333333334,66.49999999999999,33.041666666666664,1.7699999999999998,5.3275,19.83833333333334,7.425000000000002,338.5833333333333,123.75
